LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Labels
0.10383702,0.16754124,0.15334336,0.34419876,0.48237008,0.39661026,0.21303365,0.23791897,0.45890605,0.34146258,3
0.09672729,0.14848861,0.1279463,0.29826882,0.5817821,0.4370314,0.21794045,0.21972398,0.39436227,0.28721973,5
0.087613724,0.17830764,0.12304884,0.30010244,0.65005076,0.33590084,0.17092451,0.20200585,0.3733398,0.3324578,6
0.13285655,0.16977566,0.09341288,0.30931666,0.49019957,0.40294802,0.18754609,0.21311016,0.5081672,0.3280798,8
0.08079835,0.19123064,0.1423038,0.3298429,0.501426,0.39085165,0.15725443,0.22585341,0.49816185,0.31584617,3
0.059664074,0.12663747,0.12464693,0.3368794,0.5820979,0.46710092,0.17314869,0.18563245,0.397428,0.26826954,5
0.081543386,0.17341155,0.12547642,0.266722,0.63316166,0.325342,0.18808682,0.23180923,0.4530022,0.2744629,6
0.09809736,0.1736988,0.087482385,0.28331706,0.4593968,0.32883334,0.21259858,0.22755347,0.60474837,0.30067885,8
0.084355414,0.18064564,0.120936215,0.30439854,0.55098855,0.42531672,0.1638549,0.19728501,0.44610238,0.32203642,3
0.07502181,0.12864615,0.1167556,0.36638555,0.5895491,0.46641344,0.18853925,0.18917483,0.37074846,0.23675595,5
0.122453704,0.1670954,0.10148941,0.25676855,0.6065775,0.37160966,0.17541112,0.22197907,0.4485955,0.30584696,6
0.10302085,0.13340871,0.085949056,0.25933355,0.35198325,0.36954468,0.20038399,0.22265403,0.6769142,0.29757458,8
0.07161002,0.20746525,0.13970539,0.32937956,0.5484296,0.4321295,0.20155112,0.21216008,0.39975217,0.30145338,3
0.07163722,0.14493158,0.09416678,0.33821356,0.5933299,0.43018216,0.20048948,0.21115126,0.40122172,0.26028913,5
0.072858244,0.1555294,0.119474605,0.2979481,0.55139655,0.3610567,0.165675,0.2043601,0.5347365,0.27910665,6
0.092690796,0.16740255,0.11574455,0.29740646,0.3622882,0.36833692,0.20509355,0.22116089,0.6317601,0.3232899,8
0.09550497,0.12527643,0.14076707,0.30410123,0.56036603,0.4572772,0.15948649,0.20121656,0.44977978,0.26749423,3
0.065551706,0.1341154,0.07631781,0.34584153,0.59490806,0.450335,0.2300453,0.18442987,0.36149287,0.27920574,5
0.101005614,0.16150728,0.118964344,0.28311512,0.5282567,0.3783586,0.18075071,0.2555093,0.52622336,0.26894104,6
0.108186126,0.15508737,0.09900409,0.25143296,0.41412377,0.36727592,0.19978012,0.18802805,0.6703467,0.24536093,8
0.09863878,0.17345418,0.11366096,0.30675802,0.5306241,0.44528994,0.20481163,0.23157004,0.43815446,0.29286158,3
0.08484266,0.11242368,0.11049161,0.28146967,0.64968467,0.39200783,0.19534779,0.20111851,0.42280057,0.23579454,5
0.07928821,0.17720306,0.1044955,0.2969979,0.4611359,0.40077084,0.1503708,0.21864174,0.57777685,0.2927117,6
0.10187494,0.15247016,0.087223865,0.2550391,0.38868567,0.3747989,0.20554714,0.19397666,0.6725416,0.26454085,8
0.105388686,0.16199513,0.116752416,0.3250728,0.56338453,0.3609577,0.17408226,0.20463975,0.4555534,0.34050548,3
0.08589919,0.16276085,0.09618923,0.2963883,0.5666876,0.4174986,0.22342078,0.20288828,0.4589283,0.268135,5
0.09874686,0.15064177,0.09662039,0.27894086,0.45055965,0.34343162,0.17119579,0.2152617,0.6128331,0.32901862,6
0.10570983,0.18639985,0.10434688,0.20701127,0.41566274,0.40995204,0.23440209,0.23076458,0.59572375,0.31051394,8
0.09882007,0.1860088,0.119908,0.31638822,0.5711329,0.35871878,0.1857933,0.2649574,0.4403037,0.29613367,3
0.07537949,0.14221618,0.0854896,0.2912052,0.59800684,0.4244022,0.1886899,0.18543588,0.4500236,0.26784837,5
0.08685458,0.1549687,0.08932442,0.24826598,0.46963283,0.39453295,0.18062328,0.25258106,0.59182125,0.2755728,6
0.10411808,0.13723531,0.1061537,0.28312975,0.38989592,0.46650776,0.18224028,0.23296931,0.58185095,0.28846112,8
0.103861466,0.16199209,0.13341188,0.31948733,0.61181283,0.38946384,0.17850322,0.21017604,0.33557755,0.3584045,3
0.0664686,0.14577802,0.07168012,0.2823979,0.6079445,0.4695948,0.20450684,0.16975461,0.4263797,0.21653846,5
0.08586994,0.1362528,0.077845275,0.25038406,0.4160833,0.4215338,0.15248288,0.21558419,0.6215827,0.31368914,6
0.10689658,0.1580803,0.09466278,0.23273304,0.38919702,0.3941626,0.1896945,0.21710026,0.65209913,0.29200977,8
0.07569691,0.19094928,0.13989235,0.25729397,0.5980115,0.38249293,0.17054771,0.23511991,0.44311553,0.29563555,3
0.08013957,0.14096989,0.07922397,0.29274186,0.63364404,0.40304944,0.1823669,0.23237611,0.4180494,0.23612644,5
0.083043724,0.11233224,0.08669913,0.29164305,0.38004914,0.36011708,0.13639358,0.19326371,0.69536906,0.27257812,6
0.10333911,0.1432574,0.11565637,0.2154996,0.41022518,0.33110213,0.1881791,0.20727487,0.703535,0.24027662,8
0.0974361,0.17706573,0.119350605,0.3029996,0.61482686,0.40120926,0.15018176,0.22854377,0.3788398,0.3095373,3
0.06396254,0.1334103,0.086777,0.34381709,0.65850633,0.45894742,0.20304908,0.20736359,0.26870346,0.22732493,5
0.091551125,0.14595154,0.07751339,0.256127,0.4197482,0.38757452,0.14701328,0.25716704,0.6275447,0.30123818,6
0.09804236,0.1558293,0.1169208,0.19149081,0.46436715,0.3974663,0.21398565,0.19578499,0.6296835,0.24804537,8
0.10006717,0.18034099,0.119542755,0.32537377,0.5651164,0.41088775,0.19018789,0.26344493,0.39598507,0.2945182,3
0.087709635,0.15330262,0.111965805,0.30438483,0.65371644,0.40913218,0.20469412,0.21141106,0.3379697,0.26089618,5
0.07625208,0.13729428,0.08969542,0.26150742,0.41733545,0.36660668,0.14206012,0.21483594,0.6467542,0.32512853,6
0.07892402,0.15515803,0.09279266,0.24821989,0.33338806,0.4153007,0.23936915,0.19267148,0.67725784,0.25050586,8
0.106980115,0.18509258,0.108445995,0.32011187,0.59429157,0.34766307,0.19653538,0.24449272,0.41294575,0.3115844,3
0.06570879,0.17441665,0.094236284,0.30983067,0.63680476,0.4405032,0.182336,0.2525603,0.32170492,0.24555036,5
0.08782509,0.14072852,0.08513051,0.26046655,0.41354078,0.33240148,0.12649517,0.21902072,0.67990875,0.2993967,6
0.0729097,0.1508112,0.09701439,0.18888985,0.4042212,0.4196004,0.17262998,0.20901099,0.67226624,0.2489198,8
0.09959794,0.16602413,0.11110093,0.3101802,0.544813,0.37467438,0.18231201,0.23369232,0.48895293,0.29972345,3
0.08573637,0.1544549,0.086764306,0.33344534,0.6537606,0.4128504,0.23874012,0.17640977,0.3378796,0.22349688,5
0.07344227,0.16269533,0.06577828,0.25462568,0.4235982,0.35333318,0.14685331,0.19945341,0.64922416,0.33444872,6
