LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Labels
0.1846415,0.20116375,0.2341413,0.37776247,0.5000259,0.36387512,0.26541474,0.25742376,0.24712674,0.38431665,8
0.16530488,0.18505976,0.1568615,0.34417278,0.63678646,0.38053232,0.22444223,0.19242235,0.1879602,0.3497645,13
0.17132,0.24879965,0.15863891,0.2903237,0.60680336,0.40065417,0.20366198,0.23616958,0.2221726,0.35205835,11
0.08954586,0.15885575,0.17484629,0.2935561,0.6974702,0.41959065,0.2547723,0.1959814,0.17116006,0.23423389,10
0.09041011,0.13557534,0.16580819,0.3938895,0.6592592,0.43307585,0.21622472,0.19203727,0.16233271,0.24216382,3
0.11646485,0.20434602,0.12766199,0.2580677,0.741901,0.34674072,0.17527525,0.21004626,0.1920497,0.28180113,9
0.16214533,0.21571667,0.1780325,0.2861086,0.5707874,0.3075226,0.2340582,0.2809044,0.27658445,0.42785925,6
0.11661379,0.19114073,0.25485942,0.41250622,0.6084063,0.38249883,0.21581315,0.20359679,0.19683948,0.2674237,4
0.15408827,0.24052991,0.22257325,0.35739574,0.59994185,0.31671035,0.21221828,0.2409238,0.22799864,0.3547275,5
0.13861147,0.22944759,0.19331753,0.37994096,0.54668015,0.42523688,0.2707731,0.25122377,0.20000623,0.30049017,7
0.19738261,0.18910833,0.21617873,0.37824118,0.5405244,0.3529141,0.23859198,0.26940608,0.23432858,0.36653507,8
0.15781078,0.1822468,0.17638354,0.38294682,0.5841689,0.41896245,0.20038344,0.23793146,0.16638716,0.3505567,13
0.087166466,0.14306182,0.16420068,0.32330066,0.7180888,0.4300464,0.21744277,0.16933185,0.17649361,0.18098073,10
0.14416406,0.23862109,0.15547502,0.32152984,0.6335895,0.38243046,0.23331572,0.2131989,0.22642119,0.3096408,11
0.13940813,0.17221732,0.135655,0.2698664,0.7331281,0.3649114,0.15620187,0.2359834,0.19422919,0.2668841,9
0.14958544,0.20692335,0.1821858,0.3325856,0.5832824,0.38524297,0.20008533,0.2526437,0.2432335,0.3732908,6
0.08886293,0.12849611,0.2050407,0.45231795,0.64358574,0.38926494,0.23158887,0.18974204,0.15424952,0.22316088,4
0.1377548,0.1914495,0.20200491,0.41415074,0.58152074,0.3781985,0.22570305,0.1995179,0.21074204,0.34012067,7
0.17288055,0.21825726,0.17790477,0.35302448,0.6142044,0.36331555,0.22489844,0.22527198,0.17618164,0.3529699,5
0.109890826,0.18163387,0.21319889,0.39690518,0.639283,0.35962954,0.265282,0.22827971,0.19164757,0.23391157,3
0.17375605,0.20662595,0.25001615,0.38020572,0.5101763,0.38807416,0.25446326,0.25558537,0.24394083,0.34581223,8
