LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Labels
0.10887525,0.17939156,0.21661124,0.3619437,0.59088373,0.4819406,0.2295438,0.18585055,0.17462842,0.2809003,19
0.11119851,0.15837765,0.21245143,0.36958662,0.6689922,0.4062774,0.20453411,0.18417071,0.18079582,0.24447797,20
0.14756866,0.19450903,0.24688822,0.37585142,0.5501308,0.45856276,0.2597063,0.19827218,0.1785084,0.29431888,24
0.1404032,0.18134023,0.13855939,0.31214672,0.6336697,0.44950575,0.2116886,0.15987638,0.2281387,0.32366028,25
0.16120084,0.24033378,0.22627752,0.29126987,0.6317172,0.3521738,0.19590501,0.26990235,0.1882679,0.332341,14
0.12172046,0.1735033,0.18463983,0.3673968,0.6109137,0.44045272,0.24700306,0.17096469,0.17185155,0.31467712,19
0.09320318,0.18739186,0.20119855,0.36868536,0.65911686,0.4068784,0.22157048,0.18419452,0.19358473,0.24352926,20
0.15079194,0.18809307,0.21349922,0.33458212,0.56020445,0.5007901,0.26142693,0.16667686,0.1839519,0.29962057,24
0.09610217,0.15323734,0.14634076,0.26713508,0.7218647,0.4623076,0.18813016,0.17178874,0.1639556,0.21886784,25
0.11117601,0.21932769,0.15702553,0.28165296,0.733228,0.32453206,0.17694938,0.19721316,0.19189365,0.2925377,14
0.10113594,0.25725454,0.15242504,0.3664385,0.6868084,0.3582575,0.14472817,0.21841604,0.16483569,0.26496047,4
0.15441309,0.19918019,0.18461467,0.37978986,0.5805073,0.4194233,0.25496984,0.19111279,0.19432071,0.32551813,19
0.10360034,0.16946387,0.19893736,0.3745289,0.66043496,0.4343202,0.20418304,0.17227148,0.18185356,0.2268342,20
0.12547533,0.21138297,0.14775456,0.38103074,0.5963927,0.4664551,0.27172238,0.18808742,0.15151817,0.2590852,24
0.10609465,0.1709897,0.14047572,0.31585118,0.6810214,0.44645503,0.20193829,0.15382862,0.20637406,0.2643221,25
0.131265,0.2182232,0.1559043,0.2922176,0.7008211,0.34664938,0.14581922,0.27465326,0.18772362,0.2867002,14
0.124954835,0.15234889,0.14867698,0.4240097,0.6181794,0.45354456,0.24952926,0.16773582,0.15571658,0.23830816,4
0.1322422,0.21281596,0.18392013,0.37083626,0.6059447,0.41881028,0.23288341,0.18406697,0.19804083,0.30978808,19
0.110919066,0.16636562,0.19737133,0.35039058,0.67825115,0.4058693,0.22746305,0.19682617,0.17578377,0.22837712,20
0.12490362,0.21307936,0.1944646,0.3566706,0.60200375,0.4337646,0.26546395,0.22105843,0.17131463,0.27334785,24
0.12329328,0.15811872,0.12785608,0.301549,0.70173573,0.41580263,0.22328661,0.16119617,0.18258157,0.2793138,25
0.1099479,0.1492567,0.17151408,0.31462342,0.69631577,0.4586175,0.18637542,0.17094234,0.14481118,0.23898931,4
0.088876605,0.23794417,0.14407414,0.3013614,0.72599155,0.35342288,0.15219058,0.21273133,0.18625107,0.26235452,14
0.10490797,0.2136277,0.17387894,0.2983249,0.6947631,0.42695308,0.16539966,0.21025668,0.16850798,0.24327211,16
0.1578848,0.1962214,0.20322974,0.33389634,0.61034703,0.39808738,0.2583151,0.21098568,0.19929087,0.3191002,19
0.10673376,0.19095318,0.21273582,0.33527803,0.67714995,0.40420654,0.22899054,0.18727173,0.18132612,0.22841924,20
0.1280096,0.18634133,0.22798902,0.37845072,0.6084194,0.38940305,0.25891984,0.20665783,0.19173527,0.2921785,24
0.14036056,0.15921533,0.14766662,0.31220096,0.67774075,0.4133684,0.20068327,0.1951125,0.21129915,0.2871909,25
0.112511784,0.22755294,0.15112397,0.29685053,0.71314555,0.3405856,0.14816256,0.24171694,0.19436485,0.2861294,14
0.08625784,0.111519426,0.15061286,0.34338775,0.7370517,0.43335485,0.211549,0.13876985,0.12317812,0.1711697,4
0.11773966,0.22470666,0.17036337,0.29788604,0.6790327,0.4366189,0.18298103,0.21036083,0.16205494,0.2493341,16
0.18819004,0.24667943,0.22855885,0.37251753,0.54848295,0.3522518,0.25826493,0.20751342,0.2131534,0.36416125,23
0.13989677,0.1996396,0.17226742,0.40170136,0.63650674,0.37577733,0.24369295,0.17866078,0.19320069,0.27304018,19
0.10754562,0.17217055,0.2092424,0.32303712,0.68828166,0.39897534,0.24335384,0.18383676,0.15813808,0.24437314,20
0.13609792,0.17910719,0.19080922,0.37837058,0.6194658,0.40869936,0.25892866,0.21408969,0.18295944,0.26962918,24
0.121656135,0.18132763,0.12209985,0.25548658,0.7160387,0.42068225,0.19245093,0.21869886,0.18004557,0.2552849,25
0.13407956,0.25993267,0.17951803,0.30166197,0.6527359,0.3465022,0.19779985,0.2826302,0.17637902,0.30820262,14
0.07494354,0.13047442,0.1634941,0.39699736,0.6627615,0.46597242,0.2230785,0.13626589,0.15486886,0.21052983,4
0.09543822,0.1948113,0.14407523,0.26626876,0.72744244,0.3892013,0.22292526,0.19040479,0.15356362,0.26664913,16
0.18237877,0.23365967,0.21648683,0.36314315,0.55587167,0.37282023,0.2288675,0.24325566,0.2054198,0.36285344,23
0.15369214,0.2010806,0.19399805,0.3482748,0.63201463,0.41419038,0.22405674,0.18407312,0.19208483,0.29161212,19
