LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,Labels
0.0990297,0.17780015,0.09489207,0.3215392,0.7164586,0.44520012,0.1627887,0.18835087,0.14968158,0.22425728,18
0.18885268,0.2634746,0.18579955,0.28548458,0.5494429,0.35889742,0.2189213,0.26980945,0.24159692,0.41122395,13
0.15918192,0.1592819,0.21040663,0.34398255,0.64445966,0.36573172,0.22853771,0.19336562,0.18920082,0.33494893,27
0.1386135,0.17507216,0.13608833,0.33465677,0.6929261,0.39959088,0.15636238,0.16490836,0.18699303,0.30527192,14
0.11412674,0.1411033,0.18103051,0.38402337,0.6723436,0.4265243,0.2035175,0.1733372,0.13024215,0.25381452,26
0.09673962,0.18245254,0.10224909,0.269314,0.79277307,0.36049718,0.15963724,0.19005641,0.13719113,0.18839663,8
0.10982118,0.15333411,0.1737585,0.33387166,0.7182598,0.37734434,0.18946524,0.17231871,0.1790159,0.25853848,3
0.17768815,0.20040023,0.1524237,0.33605045,0.6506298,0.3611782,0.15627496,0.21204187,0.21785907,0.3485524,2
0.1332622,0.19955042,0.14502227,0.26412067,0.7172433,0.37653887,0.21253225,0.20601238,0.17496766,0.27782246,15
0.09306609,0.22010165,0.100767195,0.27507862,0.75897956,0.3499506,0.15470654,0.18199477,0.17991383,0.2629277,19
0.07580395,0.09636552,0.08386459,0.32479316,0.7834849,0.4489725,0.13411057,0.092350274,0.08933266,0.15008084,1
0.15323284,0.20015714,0.14893474,0.3037251,0.6663119,0.38510954,0.20305358,0.18322745,0.19826676,0.34004802,12
0.17341009,0.20207503,0.18400124,0.33235592,0.58403194,0.39609733,0.22867022,0.2487435,0.23903021,0.3398418,16
0.12615074,0.20209327,0.19348058,0.3142952,0.6198647,0.43904817,0.23209909,0.21313338,0.20250638,0.29954627,4
0.21219598,0.26923442,0.12817822,0.2862342,0.5968048,0.33694816,0.19264688,0.25426042,0.24163388,0.39276946,23
0.1270706,0.18496142,0.11092599,0.331172,0.710336,0.41990426,0.14225644,0.18146122,0.16600908,0.2569863,10
0.07938816,0.16991098,0.08726821,0.30042943,0.7598724,0.43219206,0.16318408,0.1424931,0.11652328,0.20554091,21
0.09121249,0.21925394,0.13057165,0.32215098,0.7529876,0.32971632,0.1475886,0.22722583,0.15157093,0.22513752,25
0.203814,0.19642647,0.18042578,0.27141103,0.5651421,0.42316958,0.21907891,0.21411788,0.27577314,0.38119307,9
0.10188414,0.19347961,0.10094692,0.31720912,0.696437,0.4323977,0.19681728,0.19354421,0.15101339,0.2652919,18
0.19679816,0.25878683,0.23210402,0.3027793,0.53392226,0.33328956,0.24866413,0.25985175,0.26138166,0.39359915,13
0.14353833,0.17091364,0.20342742,0.3571563,0.64792717,0.367606,0.19542027,0.19241913,0.20256889,0.33173758,27
0.15100518,0.20736541,0.1503365,0.32981947,0.66043556,0.42363122,0.1529592,0.20146982,0.19456713,0.2921188,14
0.09957078,0.15215418,0.15485662,0.37342852,0.65507346,0.48501703,0.19864829,0.14475633,0.15731916,0.23233111,26
0.07643014,0.14687224,0.11077382,0.26576447,0.74064964,0.47187704,0.18734401,0.1401869,0.14358057,0.2075812,8
0.11916468,0.17080013,0.16103883,0.35033962,0.68305475,0.4158197,0.19925442,0.17732961,0.16806479,0.2628535,3
0.17911886,0.19746473,0.16128756,0.3246103,0.6509843,0.36385813,0.17075378,0.21980475,0.21043576,0.34584862,2
0.120238885,0.18480632,0.1285545,0.2709009,0.736623,0.37390006,0.21464409,0.16477467,0.17323633,0.2753679,15
0.09913122,0.20487769,0.12721756,0.29894155,0.73665476,0.33694613,0.18073791,0.2117906,0.16713184,0.2846057,19
0.090611435,0.09294401,0.09757785,0.32661694,0.7513537,0.4629124,0.15163627,0.11138725,0.12288287,0.19398397,1
0.15296128,0.21844769,0.1626961,0.341001,0.63428676,0.40804487,0.19186784,0.19337012,0.20652744,0.3169424,12
0.13066876,0.2583006,0.21057853,0.3416732,0.57204175,0.37170428,0.21100482,0.26278868,0.23095506,0.35043624,16
0.118373886,0.16788383,0.14141668,0.33969158,0.634541,0.45579335,0.25332677,0.19036219,0.17180838,0.2865197,4
0.18465422,0.2686,0.10625238,0.29912314,0.6319872,0.3118022,0.11385479,0.27245766,0.24541852,0.38592476,23
0.117031045,0.18110745,0.110618465,0.35401788,0.7237573,0.39152086,0.17132351,0.161114,0.12855701,0.2588227,10
0.08331448,0.1408858,0.1378071,0.27640563,0.7523595,0.45406523,0.17680073,0.14015113,0.11684844,0.2025947,21
0.106981255,0.18785231,0.1252584,0.31853467,0.75230676,0.32965672,0.18133958,0.21412222,0.14417495,0.24890701,25
0.16177371,0.26335353,0.16617776,0.25677153,0.5471261,0.4220829,0.17617498,0.27336168,0.28771287,0.38063595,9
0.097327374,0.12029502,0.14377591,0.3241926,0.71137744,0.46040723,0.19006144,0.18925981,0.13728918,0.20361842,18
0.20274468,0.2752989,0.17408006,0.3002023,0.4847184,0.382235,0.26326886,0.2512,0.2634049,0.4240639,13
0.15844391,0.18839718,0.19104831,0.35065192,0.62372214,0.36534446,0.18836041,0.23101507,0.20877005,0.3535638,27
0.1366454,0.20919575,0.15208825,0.32782134,0.66055304,0.41082928,0.19935569,0.22288013,0.16950366,0.28932106,14
0.12073934,0.16469814,0.20031671,0.3622118,0.6420711,0.4518596,0.20259139,0.17845759,0.1720438,0.26086512,26
0.090496704,0.15130748,0.1131343,0.3131735,0.7048841,0.46423528,0.20776567,0.16259196,0.18516912,0.20438455,8
0.14462572,0.16422357,0.15073366,0.28841725,0.70214546,0.40444428,0.18188582,0.17500888,0.1671125,0.31303066,3
0.16644491,0.22279058,0.15214178,0.29502562,0.67075443,0.31837443,0.16047333,0.24187362,0.19619972,0.3720894,2
0.119956054,0.19308904,0.15138683,0.27814767,0.72828954,0.39114583,0.19299303,0.15357004,0.15538093,0.28225693,15
0.12078382,0.19345178,0.12366099,0.2778378,0.74774706,0.32683328,0.16673096,0.20337638,0.17697872,0.29845184,19
0.061234873,0.10872248,0.11077682,0.3075707,0.8051992,0.40027836,0.16300073,0.12302783,0.08134464,0.14376345,1
0.18013768,0.2136307,0.14773828,0.29659924,0.6332632,0.39567906,0.23649801,0.21998619,0.19242288,0.33642012,12
0.16973162,0.23115656,0.17828993,0.31278905,0.61544305,0.38670734,0.2363406,0.22487341,0.23004007,0.3169817,16
0.109871194,0.16679619,0.14544658,0.28883484,0.6696132,0.4942573,0.22766034,0.18426898,0.15914896,0.22746918,4
0.19096877,0.26915303,0.13655223,0.25592974,0.6504935,0.24526863,0.16487268,0.27502525,0.25206167,0.39659226,23
0.11296395,0.18583237,0.10427594,0.35292664,0.7199862,0.422102,0.15754148,0.1767022,0.1273334,0.22015432,10
0.09380826,0.15939052,0.11424011,0.29717097,0.74111736,0.45544702,0.18955831,0.15273511,0.10373368,0.19423006,21
0.10659437,0.1726733,0.12377162,0.28404754,0.7750525,0.33214772,0.17195699,0.19498938,0.14013085,0.25409454,25
0.1643841,0.23196568,0.1800255,0.30549073,0.53001946,0.43260506,0.201376,0.2941823,0.28585437,0.34140867,9
0.09362792,0.12761956,0.12360041,0.32782397,0.71389335,0.45751253,0.16733122,0.17515704,0.13587117,0.23685253,18
0.19336884,0.28620157,0.19028948,0.2733036,0.5356372,0.37363043,0.22190472,0.27889138,0.24393778,0.39592615,13
0.13842177,0.17510451,0.19183013,0.3681569,0.6573391,0.3846313,0.18116868,0.19001514,0.19750252,0.2997805,27
0.12963201,0.22097877,0.17697923,0.3257017,0.6478792,0.40862736,0.2122682,0.21862483,0.17155406,0.2965661,14
0.10763683,0.12867498,0.18326467,0.35874566,0.64300907,0.47844175,0.252056,0.14612454,0.17281644,0.22903112,26
0.06855843,0.16608964,0.07907801,0.2546773,0.7595418,0.4607043,0.18320864,0.18821031,0.11316748,0.16016409,8
0.11775551,0.15267515,0.16945162,0.2998507,0.74194074,0.40293112,0.16609599,0.17972599,0.15137772,0.22037631,3
0.1599344,0.21780223,0.13293773,0.32200852,0.68531996,0.36450893,0.18158178,0.20262593,0.1884732,0.3058426,2
0.12427122,0.16699964,0.17636326,0.29505068,0.700088,0.4262548,0.1803991,0.16937174,0.19502977,0.2596635,15
0.10320113,0.20950966,0.15355325,0.27975342,0.72827923,0.36716628,0.19001275,0.19579396,0.19190696,0.2591226,19
0.0460778,0.09905072,0.10963479,0.30850825,0.8153097,0.40041515,0.15866196,0.09606346,0.08266031,0.12071423,1
0.17321387,0.20473832,0.14474896,0.34677288,0.6318189,0.39960068,0.22060236,0.19101137,0.1860773,0.32897455,12
0.16189854,0.214829,0.14764439,0.30315757,0.6425579,0.38256788,0.18232782,0.21453011,0.23822588,0.3444952,16
0.115498886,0.18933354,0.12940162,0.28274795,0.71626353,0.3858616,0.23137373,0.20454141,0.18376362,0.25111523,4
0.19446161,0.23717187,0.14880282,0.28079635,0.6317928,0.27494842,0.14983353,0.27124557,0.23247646,0.42440203,23
0.12482113,0.18593031,0.112913124,0.35964176,0.69599766,0.42468646,0.17715104,0.15727995,0.14202958,0.25825304,10
0.07292651,0.12995872,0.113422014,0.281101,0.7984365,0.40437883,0.1628084,0.12521389,0.10372501,0.1787261,21
0.09112598,0.16219638,0.13778535,0.28325948,0.784735,0.34709865,0.15440722,0.18799841,0.15306121,0.21741283,25
0.19651528,0.22126384,0.15784626,0.29161328,0.50680256,0.39701355,0.23637955,0.25600755,0.28025842,0.4336379,9
0.11046348,0.13285875,0.13339643,0.327647,0.70616734,0.45701283,0.16100337,0.1602253,0.15806954,0.24675074,18
0.1640957,0.2697362,0.22214627,0.2678225,0.54106337,0.35601872,0.25211737,0.23381148,0.24477163,0.42613864,13
0.13321339,0.1475033,0.18399467,0.3908124,0.61603594,0.409343,0.17922792,0.18060213,0.20627034,0.34577337,27
0.13787208,0.2138409,0.14602432,0.31667405,0.65619546,0.41053456,0.20024341,0.21390623,0.18609127,0.30666515,14
0.11828711,0.1493312,0.14127606,0.38070694,0.66893166,0.42487815,0.2569666,0.14021786,0.15963662,0.2442212,26
0.1108129,0.18644749,0.11022117,0.2879571,0.674751,0.48417553,0.20099853,0.20834751,0.1636459,0.23997055,8
0.11706206,0.15138173,0.12712088,0.3052006,0.7451234,0.38808936,0.20840101,0.17376931,0.15331304,0.22609518,3
0.16231842,0.18518674,0.13914183,0.34804508,0.67718095,0.3706006,0.19531676,0.21647409,0.1658931,0.30068907,2
0.10969763,0.16865517,0.14544842,0.2647924,0.74173874,0.4041838,0.17959554,0.15972155,0.1580443,0.26826698,15
0.11382181,0.19776757,0.12817,0.28020486,0.7404191,0.3565498,0.17515223,0.18692347,0.18948512,0.27589613,19
0.059824865,0.09188944,0.09999126,0.29725188,0.7879834,0.45542043,0.14269021,0.09917489,0.091065444,0.15101528,1
0.15318657,0.21736246,0.17728885,0.33334273,0.626436,0.38943923,0.19300355,0.22998942,0.19770469,0.3367804,12
0.16608289,0.22269459,0.16717964,0.3081833,0.62078345,0.40076897,0.18492256,0.25845265,0.19614872,0.33829173,16
0.09406177,0.17772117,0.14405644,0.28085715,0.72057825,0.40653655,0.20425925,0.20180212,0.17956243,0.24645701,4
0.20416231,0.2749946,0.14006782,0.26692054,0.6251011,0.3136615,0.13190053,0.27522406,0.23344477,0.3937673,23
0.10849652,0.17151944,0.10716765,0.38176587,0.69791687,0.40248767,0.1697862,0.17501996,0.1503315,0.26539844,10
0.088483475,0.18400879,0.11758823,0.3259961,0.73606044,0.41220313,0.17713036,0.16056661,0.12563264,0.23146102,21
0.09063916,0.16707388,0.13041642,0.25202322,0.7689253,0.38801548,0.17430192,0.15650693,0.15050481,0.2530165,25
0.1987507,0.19457552,0.16830175,0.28501368,0.5238794,0.43425032,0.21194652,0.28064343,0.27029994,0.39155233,9
0.100491084,0.15858957,0.13388042,0.31473196,0.7155666,0.44009927,0.18435861,0.17360823,0.15961982,0.22900112,18
0.20060006,0.24499813,0.15872857,0.28346103,0.543386,0.39107412,0.20173272,0.27377558,0.24246998,0.41417706,13
0.13510059,0.1838344,0.17360198,0.37787163,0.63686246,0.4137305,0.1831921,0.19560286,0.20289457,0.2920195,27
0.16525328,0.16604035,0.17194723,0.30547008,0.65891296,0.40010926,0.26469263,0.23027128,0.15598004,0.28385508,14
0.09815719,0.14256914,0.18003596,0.37116182,0.63315,0.4603686,0.2560069,0.16882439,0.1769873,0.2483572,26
0.1069477,0.20540196,0.13860008,0.3454941,0.68021107,0.3932978,0.2385647,0.20460612,0.166291,0.2529748,8
0.12888108,0.16794518,0.14133479,0.38356704,0.68600446,0.387984,0.18600956,0.18851571,0.17978801,0.25394818,3
0.17771722,0.18765505,0.13714123,0.29954246,0.7062654,0.3298991,0.17803654,0.22115615,0.17191538,0.32689843,2
0.1152336,0.15825705,0.13468161,0.29039422,0.7384918,0.42583427,0.1693024,0.16198333,0.13277753,0.24489024,15
0.11028337,0.18895502,0.12560707,0.26827422,0.7486932,0.37475997,0.17367913,0.19610818,0.17843278,0.25087383,19
0.05795889,0.092575364,0.11575279,0.3002333,0.831974,0.34572506,0.18465309,0.09323039,0.09487521,0.1450349,1
0.15383558,0.21340303,0.18189126,0.2847598,0.64925224,0.35222575,0.2259236,0.21904343,0.20707282,0.3593454,12
0.17931716,0.2252989,0.18461426,0.3349762,0.6130664,0.32361442,0.17786558,0.26716858,0.24033493,0.35977983,16
0.11132714,0.17567022,0.12298262,0.33453628,0.65200126,0.43600282,0.24579166,0.20396349,0.17166564,0.2881304,4
0.18001753,0.2863329,0.14014025,0.27342504,0.60650074,0.31407815,0.15227431,0.25908494,0.2515644,0.41366822,23
