x,y,width,height,frame,max_w,max_h,label,image
1059,85,221,312,1,1280,720,8,Mahrez_frame_00001.jpg
686,174,367,342,1,1280,720,13,Torres_frame_00001.jpg
564,132,283,145,1,1280,720,11,Sterling_frame_00001.jpg
102,557,356,163,1,1280,720,10,Silva_frame_00001.jpg
304,356,298,296,1,1280,720,3,Foden_frame_00001.jpg
0,276,170,266,1,1280,720,9,Rodri_frame_00001.jpg
1,99,167,179,1,1280,720,6,Kevin_frame_00001.jpg
124,162,426,372,1,1280,720,4,Grealish_frame_00001.jpg
395,188,339,310,1,1280,720,5,Gundogan_frame_00001.jpg
396,40,156,215,1,1280,720,7,Laporte_frame_00001.jpg
1065,95,215,303,2,1280,720,8,Mahrez_frame_00002.jpg
688,191,374,320,2,1280,720,13,Torres_frame_00002.jpg
160,557,306,163,2,1280,720,10,Silva_frame_00002.jpg
574,120,263,154,2,1280,720,11,Sterling_frame_00002.jpg
0,270,169,262,2,1280,720,9,Rodri_frame_00002.jpg
1,105,222,221,2,1280,720,6,Kevin_frame_00002.jpg
133,161,323,365,2,1280,720,4,Grealish_frame_00002.jpg
392,41,178,210,2,1280,720,7,Laporte_frame_00002.jpg
404,174,297,252,2,1280,720,5,Gundogan_frame_00002.jpg
324,254,328,400,2,1280,720,3,Foden_frame_00002.jpg
1058,95,222,304,3,1280,720,8,Mahrez_frame_00003.jpg
697,196,353,315,3,1280,720,13,Torres_frame_00003.jpg
421,28,161,188,3,1280,720,7,Laporte_frame_00003.jpg
412,144,331,310,3,1280,720,5,Gundogan_frame_00003.jpg
576,116,176,109,3,1280,720,11,Sterling_frame_00003.jpg
336,358,288,295,3,1280,720,3,Foden_frame_00003.jpg
156,559,355,161,3,1280,720,10,Silva_frame_00003.jpg
0,262,176,271,3,1280,720,9,Rodri_frame_00003.jpg
134,152,358,371,3,1280,720,4,Grealish_frame_00003.jpg
20,109,212,206,3,1280,720,6,Kevin_frame_00003.jpg
1066,95,214,305,4,1280,720,8,Mahrez_frame_00004.jpg
699,202,344,309,4,1280,720,13,Torres_frame_00004.jpg
581,138,202,114,4,1280,720,11,Sterling_frame_00004.jpg
415,26,163,199,4,1280,720,7,Laporte_frame_00004.jpg
370,130,345,252,4,1280,720,5,Gundogan_frame_00004.jpg
410,271,291,379,4,1280,720,3,Foden_frame_00004.jpg
154,565,327,155,4,1280,720,10,Silva_frame_00004.jpg
0,258,184,258,4,1280,720,9,Rodri_frame_00004.jpg
112,149,353,378,4,1280,720,4,Grealish_frame_00004.jpg
7,114,222,223,4,1280,720,6,Kevin_frame_00004.jpg
1065,100,215,309,5,1280,720,8,Mahrez_frame_00005.jpg
724,199,321,310,5,1280,720,13,Torres_frame_00005.jpg
418,45,162,160,5,1280,720,7,Laporte_frame_00005.jpg
267,585,146,135,5,1280,720,10,Silva_frame_00005.jpg
412,134,177,170,5,1280,720,5,Gundogan_frame_00005.jpg
594,132,212,78,5,1280,720,11,Sterling_frame_00005.jpg
460,225,301,417,5,1280,720,3,Foden_frame_00005.jpg
0,266,175,265,5,1280,720,9,Rodri_frame_00005.jpg
19,114,218,223,5,1280,720,6,Kevin_frame_00005.jpg
142,164,319,362,5,1280,720,4,Grealish_frame_00005.jpg
1063,40,217,376,6,1280,720,8,Mahrez_frame_00006.jpg
309,601,123,119,6,1280,720,10,Silva_frame_00006.jpg
0,269,175,266,6,1280,720,9,Rodri_frame_00006.jpg
419,13,169,215,6,1280,720,7,Laporte_frame_00006.jpg
731,198,321,240,6,1280,720,13,Torres_frame_00006.jpg
432,298,521,380,6,1280,720,3,Foden_frame_00006.jpg
410,129,340,301,6,1280,720,5,Gundogan_frame_00006.jpg
26,94,241,252,6,1280,720,6,Kevin_frame_00006.jpg
164,168,335,355,6,1280,720,4,Grealish_frame_00006.jpg
587,132,239,111,6,1280,720,11,Sterling_frame_00006.jpg
1086,97,194,305,7,1280,720,8,Mahrez_frame_00007.jpg
268,612,194,108,7,1280,720,10,Silva_frame_00007.jpg
455,319,594,401,7,1280,720,3,Foden_frame_00007.jpg
0,268,176,269,7,1280,720,9,Rodri_frame_00007.jpg
8,102,266,245,7,1280,720,6,Kevin_frame_00007.jpg
154,214,331,316,7,1280,720,4,Grealish_frame_00007.jpg
443,129,320,273,7,1280,720,5,Gundogan_frame_00007.jpg
743,197,320,185,7,1280,720,13,Torres_frame_00007.jpg
574,139,281,158,7,1280,720,11,Sterling_frame_00007.jpg
396,55,181,163,7,1280,720,7,Laporte_frame_00007.jpg
