x,y,width,height,frame,max_w,max_h,label,image
851,3,100,165,269,952,540,4,Humphrey_frame_00269.jpg
309,22,138,376,269,952,540,9,Siobhan_frame_00269.jpg
690,140,153,216,270,952,540,2,Dwayne_frame_00270.jpg
310,33,131,360,270,952,540,9,Siobhan_frame_00270.jpg
699,160,156,205,271,952,540,2,Dwayne_frame_00271.jpg
850,1,99,187,271,952,540,4,Humphrey_frame_00271.jpg
307,38,154,358,271,952,540,9,Siobhan_frame_00271.jpg
695,146,154,243,272,952,540,2,Dwayne_frame_00272.jpg
861,3,87,214,272,952,540,4,Humphrey_frame_00272.jpg
303,29,143,366,272,952,540,9,Siobhan_frame_00272.jpg
696,133,159,256,273,952,540,2,Dwayne_frame_00273.jpg
832,2,113,202,273,952,540,4,Humphrey_frame_00273.jpg
297,37,151,374,273,952,540,9,Siobhan_frame_00273.jpg
693,148,161,237,274,952,540,2,Dwayne_frame_00274.jpg
837,6,111,209,274,952,540,4,Humphrey_frame_00274.jpg
296,37,157,359,274,952,540,9,Siobhan_frame_00274.jpg
702,131,159,263,275,952,540,2,Dwayne_frame_00275.jpg
834,6,115,218,275,952,540,4,Humphrey_frame_00275.jpg
302,39,149,363,275,952,540,9,Siobhan_frame_00275.jpg
698,118,157,286,276,952,540,2,Dwayne_frame_00276.jpg
840,8,102,220,276,952,540,4,Humphrey_frame_00276.jpg
300,48,150,360,276,952,540,9,Siobhan_frame_00276.jpg
700,124,161,282,277,952,540,2,Dwayne_frame_00277.jpg
849,3,95,244,277,952,540,4,Humphrey_frame_00277.jpg
302,45,148,366,277,952,540,9,Siobhan_frame_00277.jpg
679,108,191,310,278,952,540,2,Dwayne_frame_00278.jpg
848,0,102,247,278,952,540,4,Humphrey_frame_00278.jpg
290,50,167,366,278,952,540,9,Siobhan_frame_00278.jpg
678,109,209,325,279,952,540,2,Dwayne_frame_00279.jpg
839,5,108,242,279,952,540,4,Humphrey_frame_00279.jpg
296,50,185,365,279,952,540,9,Siobhan_frame_00279.jpg
687,115,197,319,280,952,540,2,Dwayne_frame_00280.jpg
853,6,96,256,280,952,540,4,Humphrey_frame_00280.jpg
295,46,192,385,280,952,540,9,Siobhan_frame_00280.jpg
676,108,201,342,281,952,540,2,Dwayne_frame_00281.jpg
850,4,97,251,281,952,540,4,Humphrey_frame_00281.jpg
293,55,191,357,281,952,540,9,Siobhan_frame_00281.jpg
677,143,224,328,282,952,540,2,Dwayne_frame_00282.jpg
852,2,98,256,282,952,540,4,Humphrey_frame_00282.jpg
305,56,163,357,282,952,540,9,Siobhan_frame_00282.jpg
670,123,230,339,283,952,540,2,Dwayne_frame_00283.jpg
823,10,103,263,283,952,540,4,Humphrey_frame_00283.jpg
299,63,178,358,283,952,540,9,Siobhan_frame_00283.jpg
681,124,208,350,284,952,540,2,Dwayne_frame_00284.jpg
857,9,87,256,284,952,540,4,Humphrey_frame_00284.jpg
308,58,170,370,284,952,540,9,Siobhan_frame_00284.jpg
808,116,127,312,285,952,540,1,Catherine_frame_00285.jpg
691,123,193,384,285,952,540,2,Dwayne_frame_00285.jpg
851,6,97,270,285,952,540,4,Humphrey_frame_00285.jpg
291,59,198,372,285,952,540,9,Siobhan_frame_00285.jpg
809,126,134,322,286,952,540,1,Catherine_frame_00286.jpg
687,130,188,361,286,952,540,2,Dwayne_frame_00286.jpg
869,7,83,275,286,952,540,4,Humphrey_frame_00286.jpg
298,65,189,362,286,952,540,9,Siobhan_frame_00286.jpg
699,128,175,380,287,952,540,2,Dwayne_frame_00287.jpg
858,3,89,278,287,952,540,4,Humphrey_frame_00287.jpg
268,55,209,361,287,952,540,9,Siobhan_frame_00287.jpg
803,112,139,361,288,952,540,1,Catherine_frame_00288.jpg
698,131,179,375,288,952,540,2,Dwayne_frame_00288.jpg
864,5,83,273,288,952,540,4,Humphrey_frame_00288.jpg
275,63,220,361,288,952,540,9,Siobhan_frame_00288.jpg
805,117,138,357,289,952,540,1,Catherine_frame_00289.jpg
704,130,176,397,289,952,540,2,Dwayne_frame_00289.jpg
852,4,98,272,289,952,540,4,Humphrey_frame_00289.jpg
263,68,222,357,289,952,540,9,Siobhan_frame_00289.jpg
798,46,144,449,290,952,540,1,Catherine_frame_00290.jpg
707,132,165,390,290,952,540,2,Dwayne_frame_00290.jpg
839,2,110,256,290,952,540,4,Humphrey_frame_00290.jpg
271,68,212,356,290,952,540,9,Siobhan_frame_00290.jpg
784,85,157,406,291,952,540,1,Catherine_frame_00291.jpg
707,136,167,395,291,952,540,2,Dwayne_frame_00291.jpg
840,7,110,266,291,952,540,4,Humphrey_frame_00291.jpg
272,69,212,373,291,952,540,9,Siobhan_frame_00291.jpg
782,59,170,437,292,952,540,1,Catherine_frame_00292.jpg
719,132,154,395,292,952,540,2,Dwayne_frame_00292.jpg
838,5,114,276,292,952,540,4,Humphrey_frame_00292.jpg
266,70,214,368,292,952,540,9,Siobhan_frame_00292.jpg
791,52,152,464,293,952,540,1,Catherine_frame_00293.jpg
712,137,178,403,293,952,540,2,Dwayne_frame_00293.jpg
821,4,128,268,293,952,540,4,Humphrey_frame_00293.jpg
265,68,226,368,293,952,540,9,Siobhan_frame_00293.jpg
779,51,172,463,294,952,540,1,Catherine_frame_00294.jpg
697,145,186,393,294,952,540,2,Dwayne_frame_00294.jpg
801,2,149,264,294,952,540,4,Humphrey_frame_00294.jpg
258,73,242,368,294,952,540,9,Siobhan_frame_00294.jpg
792,61,160,475,295,952,540,1,Catherine_frame_00295.jpg
719,152,162,379,295,952,540,2,Dwayne_frame_00295.jpg
252,72,236,371,295,952,540,9,Siobhan_frame_00295.jpg
781,61,160,472,296,952,540,1,Catherine_frame_00296.jpg
709,154,174,386,296,952,540,2,Dwayne_frame_00296.jpg
819,2,130,270,296,952,540,4,Humphrey_frame_00296.jpg
250,83,232,351,296,952,540,9,Siobhan_frame_00296.jpg
781,71,170,463,297,952,540,1,Catherine_frame_00297.jpg
708,155,172,384,297,952,540,2,Dwayne_frame_00297.jpg
831,5,120,258,297,952,540,4,Humphrey_frame_00297.jpg
235,87,254,346,297,952,540,9,Siobhan_frame_00297.jpg
764,83,178,453,298,952,540,1,Catherine_frame_00298.jpg
715,173,166,362,298,952,540,2,Dwayne_frame_00298.jpg
831,3,118,273,298,952,540,4,Humphrey_frame_00298.jpg
