x,y,width,height,frame,max_w,max_h,label,image
218,123,461,399,301,960,540,2,Bertie_frame_00301.jpg
1,203,228,228,301,960,540,17,William_frame_00301.jpg
599,4,218,272,301,960,540,5,Friedrich_frame_00301.jpg
689,40,272,435,301,960,540,11,Nicholas_frame_00301.jpg
41,2,260,236,301,960,540,1,Alexander_frame_00301.jpg
248,128,430,398,302,960,540,2,Bertie_frame_00302.jpg
1,186,172,233,302,960,540,17,William_frame_00302.jpg
623,7,183,267,302,960,540,5,Friedrich_frame_00302.jpg
704,44,257,419,302,960,540,11,Nicholas_frame_00302.jpg
30,4,267,259,302,960,540,1,Alexander_frame_00302.jpg
272,118,409,413,303,960,540,2,Bertie_frame_00303.jpg
1,180,161,241,303,960,540,17,William_frame_00303.jpg
290,176,224,189,303,960,540,13,Oscar_frame_00303.jpg
620,11,188,272,303,960,540,5,Friedrich_frame_00303.jpg
659,41,302,424,303,960,540,11,Nicholas_frame_00303.jpg
55,8,228,263,303,960,540,1,Alexander_frame_00303.jpg
290,130,377,371,304,960,540,2,Bertie_frame_00304.jpg
1,180,151,240,304,960,540,17,William_frame_00304.jpg
293,170,200,203,304,960,540,13,Oscar_frame_00304.jpg
618,8,209,281,304,960,540,5,Friedrich_frame_00304.jpg
638,46,323,419,304,960,540,11,Nicholas_frame_00304.jpg
65,11,202,260,304,960,540,1,Alexander_frame_00304.jpg
311,123,370,396,305,960,540,2,Bertie_frame_00305.jpg
1,189,137,240,305,960,540,17,William_frame_00305.jpg
282,184,216,227,305,960,540,13,Oscar_frame_00305.jpg
629,7,185,258,305,960,540,5,Friedrich_frame_00305.jpg
641,50,320,414,305,960,540,11,Nicholas_frame_00305.jpg
63,4,216,266,305,960,540,1,Alexander_frame_00305.jpg
330,142,349,376,306,960,540,2,Bertie_frame_00306.jpg
1,198,128,236,306,960,540,17,William_frame_00306.jpg
261,191,239,233,306,960,540,13,Oscar_frame_00306.jpg
635,8,176,260,306,960,540,5,Friedrich_frame_00306.jpg
654,56,307,410,306,960,540,11,Nicholas_frame_00306.jpg
61,5,218,257,306,960,540,1,Alexander_frame_00306.jpg
350,149,331,357,307,960,540,2,Bertie_frame_00307.jpg
1,191,122,228,307,960,540,17,William_frame_00307.jpg
243,189,281,239,307,960,540,13,Oscar_frame_00307.jpg
651,5,146,278,307,960,540,5,Friedrich_frame_00307.jpg
668,63,293,405,307,960,540,11,Nicholas_frame_00307.jpg
74,3,218,271,307,960,540,1,Alexander_frame_00307.jpg
365,154,326,364,308,960,540,2,Bertie_frame_00308.jpg
1,185,121,218,308,960,540,17,William_frame_00308.jpg
241,193,281,235,308,960,540,13,Oscar_frame_00308.jpg
649,14,152,275,308,960,540,5,Friedrich_frame_00308.jpg
677,62,284,405,308,960,540,11,Nicholas_frame_00308.jpg
83,4,215,269,308,960,540,1,Alexander_frame_00308.jpg
395,149,309,368,309,960,540,2,Bertie_frame_00309.jpg
1,181,130,209,309,960,540,17,William_frame_00309.jpg
217,191,278,249,309,960,540,13,Oscar_frame_00309.jpg
647,3,161,284,309,960,540,5,Friedrich_frame_00309.jpg
686,66,275,405,309,960,540,11,Nicholas_frame_00309.jpg
104,7,206,272,309,960,540,1,Alexander_frame_00309.jpg
416,147,277,374,310,960,540,2,Bertie_frame_00310.jpg
1,191,146,246,310,960,540,17,William_frame_00310.jpg
223,200,244,236,310,960,540,13,Oscar_frame_00310.jpg
638,2,151,283,310,960,540,5,Friedrich_frame_00310.jpg
709,68,252,398,310,960,540,11,Nicholas_frame_00310.jpg
80,7,235,249,310,960,540,1,Alexander_frame_00310.jpg
418,152,277,365,311,960,540,2,Bertie_frame_00311.jpg
1,194,159,237,311,960,540,17,William_frame_00311.jpg
218,183,240,270,311,960,540,13,Oscar_frame_00311.jpg
635,7,149,278,311,960,540,5,Friedrich_frame_00311.jpg
721,61,240,389,311,960,540,11,Nicholas_frame_00311.jpg
86,4,240,238,311,960,540,1,Alexander_frame_00311.jpg
410,168,332,351,312,960,540,2,Bertie_frame_00312.jpg
1,200,167,236,312,960,540,17,William_frame_00312.jpg
199,188,217,278,312,960,540,13,Oscar_frame_00312.jpg
628,8,155,276,312,960,540,5,Friedrich_frame_00312.jpg
726,53,235,417,312,960,540,11,Nicholas_frame_00312.jpg
106,8,226,225,312,960,540,1,Alexander_frame_00312.jpg
400,181,351,341,313,960,540,2,Bertie_frame_00313.jpg
1,194,175,237,313,960,540,17,William_frame_00313.jpg
177,191,202,283,313,960,540,13,Oscar_frame_00313.jpg
598,5,192,261,313,960,540,5,Friedrich_frame_00313.jpg
718,58,243,405,313,960,540,11,Nicholas_frame_00313.jpg
102,3,227,251,313,960,540,1,Alexander_frame_00313.jpg
381,177,377,340,314,960,540,2,Bertie_frame_00314.jpg
1,200,147,236,314,960,540,17,William_frame_00314.jpg
115,182,284,283,314,960,540,13,Oscar_frame_00314.jpg
572,8,196,260,314,960,540,5,Friedrich_frame_00314.jpg
714,49,247,417,314,960,540,11,Nicholas_frame_00314.jpg
131,7,191,251,314,960,540,1,Alexander_frame_00314.jpg
365,185,388,327,315,960,540,2,Bertie_frame_00315.jpg
1,196,124,233,315,960,540,17,William_frame_00315.jpg
87,179,329,278,315,960,540,13,Oscar_frame_00315.jpg
554,14,216,266,315,960,540,5,Friedrich_frame_00315.jpg
721,56,240,408,315,960,540,11,Nicholas_frame_00315.jpg
115,8,208,236,315,960,540,1,Alexander_frame_00315.jpg
369,180,386,338,316,960,540,2,Bertie_frame_00316.jpg
1,194,114,232,316,960,540,17,William_frame_00316.jpg
80,179,332,269,316,960,540,13,Oscar_frame_00316.jpg
545,2,215,267,316,960,540,5,Friedrich_frame_00316.jpg
725,49,236,423,316,960,540,11,Nicholas_frame_00316.jpg
149,16,170,223,316,960,540,1,Alexander_frame_00316.jpg
353,188,420,326,317,960,540,2,Bertie_frame_00317.jpg
1,167,114,278,317,960,540,17,William_frame_00317.jpg
90,185,329,279,317,960,540,13,Oscar_frame_00317.jpg
541,5,223,275,317,960,540,5,Friedrich_frame_00317.jpg
739,51,222,433,317,960,540,11,Nicholas_frame_00317.jpg
125,21,194,223,317,960,540,1,Alexander_frame_00317.jpg
350,211,461,312,318,960,540,2,Bertie_frame_00318.jpg
1,173,122,254,318,960,540,17,William_frame_00318.jpg
81,183,323,284,318,960,540,13,Oscar_frame_00318.jpg
553,24,180,257,318,960,540,5,Friedrich_frame_00318.jpg
790,46,171,413,318,960,540,11,Nicholas_frame_00318.jpg
143,11,164,256,318,960,540,1,Alexander_frame_00318.jpg
341,228,473,291,319,960,540,2,Bertie_frame_00319.jpg
1,176,125,252,319,960,540,17,William_frame_00319.jpg
86,183,314,293,319,960,540,13,Oscar_frame_00319.jpg
524,7,209,277,319,960,540,5,Friedrich_frame_00319.jpg
789,45,172,439,319,960,540,11,Nicholas_frame_00319.jpg
140,9,161,249,319,960,540,1,Alexander_frame_00319.jpg
330,227,486,289,320,960,540,2,Bertie_frame_00320.jpg
1,184,113,248,320,960,540,17,William_frame_00320.jpg
82,184,320,299,320,960,540,13,Oscar_frame_00320.jpg
541,19,193,258,320,960,540,5,Friedrich_frame_00320.jpg
786,50,175,407,320,960,540,11,Nicholas_frame_00320.jpg
135,8,162,263,320,960,540,1,Alexander_frame_00320.jpg
328,223,491,291,321,960,540,2,Bertie_frame_00321.jpg
1,196,100,237,321,960,540,17,William_frame_00321.jpg
74,158,320,321,321,960,540,13,Oscar_frame_00321.jpg
545,9,176,266,321,960,540,5,Friedrich_frame_00321.jpg
842,51,119,425,321,960,540,11,Nicholas_frame_00321.jpg
132,8,167,260,321,960,540,1,Alexander_frame_00321.jpg
323,224,499,291,322,960,540,2,Bertie_frame_00322.jpg
1,210,86,212,322,960,540,17,William_frame_00322.jpg
14,189,401,259,322,960,540,13,Oscar_frame_00322.jpg
548,17,170,254,322,960,540,5,Friedrich_frame_00322.jpg
827,65,134,413,322,960,540,11,Nicholas_frame_00322.jpg
141,5,177,277,322,960,540,1,Alexander_frame_00322.jpg
302,247,503,270,323,960,540,2,Bertie_frame_00323.jpg
1,216,75,198,323,960,540,17,William_frame_00323.jpg
19,180,382,294,323,960,540,13,Oscar_frame_00323.jpg
539,25,174,254,323,960,540,5,Friedrich_frame_00323.jpg
836,53,125,409,323,960,540,11,Nicholas_frame_00323.jpg
146,8,153,237,323,960,540,1,Alexander_frame_00323.jpg
300,258,511,259,324,960,540,2,Bertie_frame_00324.jpg
1,212,61,207,324,960,540,17,William_frame_00324.jpg
24,180,348,310,324,960,540,13,Oscar_frame_00324.jpg
533,25,169,249,324,960,540,5,Friedrich_frame_00324.jpg
845,46,116,430,324,960,540,11,Nicholas_frame_00324.jpg
146,19,154,242,324,960,540,1,Alexander_frame_00324.jpg
307,266,519,242,325,960,540,2,Bertie_frame_00325.jpg
1,219,62,214,325,960,540,17,William_frame_00325.jpg
21,183,332,284,325,960,540,13,Oscar_frame_00325.jpg
524,19,173,270,325,960,540,5,Friedrich_frame_00325.jpg
830,58,131,409,325,960,540,11,Nicholas_frame_00325.jpg
131,7,175,261,325,960,540,1,Alexander_frame_00325.jpg
297,273,527,239,326,960,540,2,Bertie_frame_00326.jpg
21,180,307,325,326,960,540,13,Oscar_frame_00326.jpg
521,23,156,257,326,960,540,5,Friedrich_frame_00326.jpg
824,79,137,404,326,960,540,11,Nicholas_frame_00326.jpg
141,12,155,262,326,960,540,1,Alexander_frame_00326.jpg
302,270,516,244,327,960,540,2,Bertie_frame_00327.jpg
11,179,287,326,327,960,540,13,Oscar_frame_00327.jpg
503,24,169,255,327,960,540,5,Friedrich_frame_00327.jpg
812,71,149,394,327,960,540,11,Nicholas_frame_00327.jpg
137,8,154,275,327,960,540,1,Alexander_frame_00327.jpg
290,240,523,279,328,960,540,2,Bertie_frame_00328.jpg
1,194,268,287,328,960,540,13,Oscar_frame_00328.jpg
497,35,156,259,328,960,540,5,Friedrich_frame_00328.jpg
779,86,182,422,328,960,540,11,Nicholas_frame_00328.jpg
119,16,167,266,328,960,540,1,Alexander_frame_00328.jpg
314,202,507,320,329,960,540,2,Bertie_frame_00329.jpg
1,194,270,276,329,960,540,13,Oscar_frame_00329.jpg
481,46,165,230,329,960,540,5,Friedrich_frame_00329.jpg
782,68,179,398,329,960,540,11,Nicholas_frame_00329.jpg
109,28,165,251,329,960,540,1,Alexander_frame_00329.jpg
317,193,515,332,330,960,540,2,Bertie_frame_00330.jpg
1,200,270,295,330,960,540,13,Oscar_frame_00330.jpg
479,37,173,247,330,960,540,5,Friedrich_frame_00330.jpg
786,83,175,384,330,960,540,11,Nicholas_frame_00330.jpg
98,28,185,254,330,960,540,1,Alexander_frame_00330.jpg
356,185,479,322,331,960,540,2,Bertie_frame_00331.jpg
1,187,222,300,331,960,540,13,Oscar_frame_00331.jpg
494,42,164,251,331,960,540,5,Friedrich_frame_00331.jpg
758,96,203,372,331,960,540,11,Nicholas_frame_00331.jpg
104,40,176,244,331,960,540,1,Alexander_frame_00331.jpg
392,193,450,314,332,960,540,2,Bertie_frame_00332.jpg
1,195,224,327,332,960,540,13,Oscar_frame_00332.jpg
514,49,143,267,332,960,540,5,Friedrich_frame_00332.jpg
779,121,182,351,332,960,540,11,Nicholas_frame_00332.jpg
104,35,187,260,332,960,540,1,Alexander_frame_00332.jpg
431,188,405,321,333,960,540,2,Bertie_frame_00333.jpg
1,198,226,308,333,960,540,13,Oscar_frame_00333.jpg
519,37,165,248,333,960,540,5,Friedrich_frame_00333.jpg
784,149,177,329,333,960,540,11,Nicholas_frame_00333.jpg
89,32,197,269,333,960,540,1,Alexander_frame_00333.jpg
426,170,416,337,334,960,540,2,Bertie_frame_00334.jpg
1,183,194,358,334,960,540,13,Oscar_frame_00334.jpg
537,19,151,278,334,960,540,5,Friedrich_frame_00334.jpg
800,180,161,286,334,960,540,11,Nicholas_frame_00334.jpg
85,32,205,263,334,960,540,1,Alexander_frame_00334.jpg
419,156,428,351,335,960,540,2,Bertie_frame_00335.jpg
1,195,196,341,335,960,540,13,Oscar_frame_00335.jpg
525,16,182,281,335,960,540,5,Friedrich_frame_00335.jpg
803,221,158,241,335,960,540,11,Nicholas_frame_00335.jpg
85,40,210,250,335,960,540,1,Alexander_frame_00335.jpg
437,160,416,347,336,960,540,2,Bertie_frame_00336.jpg
5,191,196,330,336,960,540,13,Oscar_frame_00336.jpg
524,19,193,266,336,960,540,5,Friedrich_frame_00336.jpg
800,242,161,251,336,960,540,11,Nicholas_frame_00336.jpg
74,44,205,237,336,960,540,1,Alexander_frame_00336.jpg
458,156,398,347,337,960,540,2,Bertie_frame_00337.jpg
6,200,186,314,337,960,540,13,Oscar_frame_00337.jpg
518,19,195,272,337,960,540,5,Friedrich_frame_00337.jpg
814,252,147,188,337,960,540,11,Nicholas_frame_00337.jpg
61,62,225,228,337,960,540,1,Alexander_frame_00337.jpg
468,159,388,346,338,960,540,2,Bertie_frame_00338.jpg
2,200,190,327,338,960,540,13,Oscar_frame_00338.jpg
520,29,201,266,338,960,540,5,Friedrich_frame_00338.jpg
58,61,207,209,338,960,540,1,Alexander_frame_00338.jpg
