x,y,width,height,frame,max_w,max_h,label,image
0,41,195,149,251,960,540,18,Peter_frame_00251.jpg
72,372,213,155,251,960,540,2,Ben_frame_00251.jpg
109,185,97,209,251,960,540,6,Chelsea_frame_00251.jpg
189,17,84,91,251,960,540,1,Ash_frame_00251.jpg
429,20,308,192,251,960,540,21,Shirley_frame_00251.jpg
498,121,158,103,251,960,540,10,Jean_frame_00251.jpg
523,163,233,119,251,960,540,9,Jack_frame_00251.jpg
813,212,147,197,251,960,540,7,Honey_frame_00251.jpg
747,229,172,195,251,960,540,14,Kim_frame_00251.jpg
609,240,169,156,251,960,540,20,Sharon_frame_00251.jpg
199,106,245,160,251,960,540,8,Isaac_frame_00251.jpg
203,206,377,282,251,960,540,13,Keagan_frame_00251.jpg
525,366,112,121,251,960,540,17,Nancy_frame_00251.jpg
539,310,349,203,251,960,540,4,Billy_frame_00251.jpg
389,437,281,97,251,960,540,19,Phil_frame_00251.jpg
644,421,312,115,251,960,540,24,Tiff_frame_00251.jpg
838,414,122,88,251,960,540,5,Bobby_frame_00251.jpg
404,211,151,68,251,960,540,15,Lola_frame_00251.jpg
824,208,136,211,252,960,540,7,Honey_frame_00252.jpg
517,170,247,120,252,960,540,9,Jack_frame_00252.jpg
434,29,303,174,252,960,540,21,Shirley_frame_00252.jpg
500,134,158,61,252,960,540,10,Jean_frame_00252.jpg
200,25,77,82,252,960,540,1,Ash_frame_00252.jpg
0,42,197,140,252,960,540,18,Peter_frame_00252.jpg
119,188,83,200,252,960,540,6,Chelsea_frame_00252.jpg
86,398,223,126,252,960,540,2,Ben_frame_00252.jpg
196,106,239,162,252,960,540,8,Isaac_frame_00252.jpg
197,212,382,300,252,960,540,13,Keagan_frame_00252.jpg
516,357,125,130,252,960,540,17,Nancy_frame_00252.jpg
539,320,340,187,252,960,540,4,Billy_frame_00252.jpg
615,243,168,156,252,960,540,20,Sharon_frame_00252.jpg
754,243,136,185,252,960,540,14,Kim_frame_00252.jpg
635,421,315,115,252,960,540,24,Tiff_frame_00252.jpg
421,211,145,76,252,960,540,15,Lola_frame_00252.jpg
386,442,269,92,252,960,540,19,Phil_frame_00252.jpg
850,418,110,72,252,960,540,5,Bobby_frame_00252.jpg
203,25,78,83,253,960,540,1,Ash_frame_00253.jpg
2,44,199,143,253,960,540,18,Peter_frame_00253.jpg
453,25,289,175,253,960,540,21,Shirley_frame_00253.jpg
517,130,143,68,253,960,540,10,Jean_frame_00253.jpg
202,113,234,151,253,960,540,8,Isaac_frame_00253.jpg
104,185,102,175,253,960,540,6,Chelsea_frame_00253.jpg
92,400,228,129,253,960,540,2,Ben_frame_00253.jpg
195,204,385,293,253,960,540,13,Keagan_frame_00253.jpg
524,173,240,118,253,960,540,9,Jack_frame_00253.jpg
508,357,130,135,253,960,540,17,Nancy_frame_00253.jpg
624,427,336,113,253,960,540,24,Tiff_frame_00253.jpg
539,324,344,182,253,960,540,4,Billy_frame_00253.jpg
605,247,179,142,253,960,540,20,Sharon_frame_00253.jpg
761,238,154,172,253,960,540,14,Kim_frame_00253.jpg
855,239,105,198,253,960,540,7,Honey_frame_00253.jpg
804,410,156,91,253,960,540,5,Bobby_frame_00253.jpg
401,452,278,83,253,960,540,19,Phil_frame_00253.jpg
414,208,157,75,253,960,540,15,Lola_frame_00253.jpg
0,48,207,146,254,960,540,18,Peter_frame_00254.jpg
209,31,78,85,254,960,540,1,Ash_frame_00254.jpg
457,26,303,181,254,960,540,21,Shirley_frame_00254.jpg
518,128,164,78,254,960,540,10,Jean_frame_00254.jpg
199,112,240,152,254,960,540,8,Isaac_frame_00254.jpg
100,192,110,198,254,960,540,6,Chelsea_frame_00254.jpg
95,401,170,122,254,960,540,2,Ben_frame_00254.jpg
190,207,378,300,254,960,540,13,Keagan_frame_00254.jpg
